Crime ID,Crime Type,Latitude,Longitude,Date and Time,Severity,Area,Victims,Weather,Crime Outcome
1,Drug Dealing,11.057173063315258,77.06643838194422,2018-06-25 17:25:00,3,Podanur,5,Foggy,In-progress
2,Rape,10.999253135298863,76.91845030029465,2015-05-16 02:09:00,2,Saibaba Colony,5,Foggy,In-progress
3,Murder,10.950076480054008,76.94793074619253,2020-02-06 22:59:00,2,Podanur,3,Foggy,Resolved
4,Drug Dealing,10.93731652416551,76.92474613997985,2015-03-11 06:22:00,1,Podanur,1,Foggy,Unresolved
5,POCSO,10.973344165262482,76.99136717803006,2023-02-20 01:02:00,3,Kuniyamuthur,1,Cloudy,In-progress
6,Robbery,10.979841791004132,76.96154467164881,2021-12-21 10:29:00,3,Gandhipuram,1,Rainy,Unresolved
7,POCSO,10.96770725498776,76.9989812849137,2016-06-14 08:59:00,3,Peelamedu,4,Foggy,In-progress
8,Robbery,11.090210480434761,77.00054744256846,2021-12-29 01:15:00,2,Kuniyamuthur,3,Cloudy,Unresolved
9,Robbery,10.921682684099721,77.00168890679019,2019-04-25 00:24:00,3,Gandhipuram,3,Cloudy,In-progress
10,Robbery,11.01365911468802,77.08706137957365,2018-05-25 01:38:00,4,Kuniyamuthur,2,Clear,Unresolved
11,Robbery,10.95560076749021,77.0541994377822,2022-11-07 21:15:00,3,Peelamedu,3,Cloudy,Resolved
12,Robbery,11.006823275191618,76.95045871056686,2020-12-27 02:24:00,5,Kuniyamuthur,4,Foggy,Resolved
13,Murder,11.019542432977799,76.91109099319657,2017-09-04 11:44:00,2,Peelamedu,3,Cloudy,Resolved
14,Rape,11.067145397069947,76.91365809244657,2023-06-10 14:32:00,2,RS Puram,2,Rainy,In-progress
15,Rape,11.01054019647812,77.0257307298494,2016-01-08 02:35:00,4,Singanallur,5,Cloudy,In-progress
16,Rape,10.911367188609033,76.94218674672963,2020-06-11 08:15:00,3,Peelamedu,1,Foggy,In-progress
17,Murder,11.084387047958558,76.99543037417332,2022-04-28 06:54:00,3,Singanallur,3,Clear,In-progress
18,Robbery,11.031388348263894,77.01252259157856,2022-06-28 13:44:00,4,RS Puram,1,Rainy,Unresolved
19,Chain Theft,10.921289235415657,77.07889444603883,2017-12-10 07:41:00,2,Peelamedu,1,Foggy,Resolved
20,POCSO,11.00987109938047,76.96194166349792,2019-01-14 05:48:00,4,Peelamedu,4,Rainy,Unresolved
21,Rape,10.975399821551322,77.01984444990042,2016-07-18 12:28:00,4,Podanur,5,Foggy,Unresolved
22,Murder,11.085485541941333,76.93754771146324,2021-12-23 09:50:00,3,RS Puram,3,Foggy,In-progress
23,Robbery,10.903111765348731,76.90618323061003,2023-05-19 02:58:00,3,Peelamedu,1,Rainy,Resolved
24,Murder,10.914738212741904,77.00316821699293,2016-02-14 11:13:00,2,Peelamedu,4,Foggy,In-progress
25,Rape,10.910915749817885,76.90224475149851,2020-05-30 21:28:00,2,Singanallur,3,Clear,Resolved
26,Drug Dealing,10.953463279144385,76.91258869225473,2021-03-13 15:14:00,1,Podanur,5,Rainy,In-progress
27,Robbery,11.024603387938093,77.05373398004751,2022-01-08 09:52:00,2,Podanur,1,Foggy,In-progress
28,Robbery,10.956993223615314,76.93447017131984,2022-11-01 11:32:00,4,Peelamedu,3,Clear,Resolved
29,Rape,11.085054308247663,77.01637826687393,2016-02-01 10:33:00,5,Peelamedu,1,Clear,In-progress
30,Drug Dealing,10.94271409134437,76.95686487422478,2016-06-10 10:33:00,4,Peelamedu,5,Foggy,Unresolved
31,Rape,10.939850477429161,77.06945898561015,2019-08-27 09:49:00,5,Gandhipuram,3,Clear,In-progress
32,POCSO,11.012125779240149,76.994192180374,2018-03-06 11:43:00,2,Kuniyamuthur,3,Clear,In-progress
33,Drug Dealing,10.912904641828556,76.9459618633679,2015-10-12 15:59:00,5,Saibaba Colony,3,Rainy,In-progress
34,Rape,11.035972180370807,76.98829507563988,2022-05-06 07:18:00,2,Kuniyamuthur,1,Foggy,Unresolved
35,Robbery,11.029374805568722,76.9269961842831,2017-09-01 14:23:00,5,Singanallur,2,Clear,Resolved
36,Robbery,11.041474496150869,77.01882685669221,2018-03-12 23:17:00,3,RS Puram,2,Clear,Resolved
37,Murder,11.035580222884624,77.02952718503404,2016-12-15 13:41:00,3,Peelamedu,5,Rainy,In-progress
38,Chain Theft,11.030237649281757,76.97637469654623,2017-04-12 23:14:00,5,Gandhipuram,4,Foggy,Resolved
39,Robbery,11.091825227659102,76.98609612696983,2017-01-01 10:08:00,2,Peelamedu,2,Clear,In-progress
40,POCSO,10.93848657124451,77.08531070578535,2019-02-08 05:35:00,2,Gandhipuram,4,Clear,In-progress
41,Robbery,11.059468581707398,76.98683270111982,2015-09-09 02:48:00,3,Kuniyamuthur,2,Clear,Resolved
42,Chain Theft,10.928412762463967,76.97613103393302,2016-03-28 07:00:00,4,Peelamedu,2,Cloudy,Resolved
43,POCSO,11.096486383018746,77.02371180362259,2020-12-12 13:10:00,3,Gandhipuram,3,Foggy,Unresolved
44,Rape,11.005705934208848,76.96513243399878,2023-08-02 02:33:00,1,Singanallur,5,Foggy,In-progress
45,Robbery,10.95705786404907,76.97869210272594,2016-01-04 18:13:00,1,Gandhipuram,1,Clear,In-progress
46,POCSO,11.074764740832135,76.95005320402073,2016-11-24 06:35:00,5,Kuniyamuthur,4,Clear,Unresolved
47,Robbery,10.980004724950225,77.08200309172302,2020-10-31 12:07:00,1,Singanallur,3,Cloudy,Resolved
48,Rape,11.010531676040602,77.09874568581984,2018-10-20 13:08:00,3,Kuniyamuthur,3,Cloudy,Unresolved
49,Robbery,10.998559020340188,77.07161196357825,2018-04-09 18:26:00,4,Gandhipuram,3,Clear,In-progress
50,POCSO,10.920388777717465,76.94167111120049,2018-01-29 05:32:00,5,Gandhipuram,1,Cloudy,In-progress
51,Drug Dealing,11.059689563708421,77.08482672901651,2020-06-01 15:11:00,4,Kuniyamuthur,2,Cloudy,Unresolved
52,Murder,10.923621548682735,77.05405473285498,2015-08-01 02:12:00,2,Gandhipuram,1,Foggy,Resolved
53,Murder,11.006144926088549,76.90414591038062,2021-08-08 10:07:00,2,Saibaba Colony,2,Cloudy,In-progress
54,Drug Dealing,10.939486945257443,77.00853828044171,2021-03-03 03:54:00,5,Saibaba Colony,5,Clear,In-progress
55,Drug Dealing,10.958399868309776,76.98464702925011,2022-10-24 11:07:00,1,Kuniyamuthur,2,Foggy,Resolved
56,Rape,10.954643694075143,76.92454401767355,2020-04-17 21:50:00,1,Singanallur,4,Cloudy,In-progress
57,Robbery,11.046418767937698,76.91762898782737,2019-08-20 23:36:00,4,Saibaba Colony,5,Cloudy,Unresolved
58,Rape,10.954434857763129,76.92660725115375,2020-08-31 13:35:00,1,Kuniyamuthur,5,Foggy,Unresolved
59,Rape,10.919990306592194,76.93293870592012,2016-04-08 05:42:00,4,RS Puram,3,Rainy,Unresolved
60,Chain Theft,10.988956538633351,76.991768842402,2019-10-31 02:41:00,4,Podanur,5,Cloudy,Resolved
61,POCSO,11.079354605573025,76.90314776941956,2023-06-22 12:09:00,3,Gandhipuram,2,Foggy,Resolved
